Activity,Before_SMOTE
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
