Balanced_Activity,After_SMOTE
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
