SubFPC1,SubFPC2,SubFPC3,SubFPC5,SubFPC8,SubFPC12,SubFPC14,SubFPC16,SubFPC18,SubFPC28,SubFPC42,SubFPC84,SubFPC85,SubFPC86,SubFPC88,SubFPC96,SubFPC103,SubFPC133,SubFPC135,SubFPC137,SubFPC143,SubFPC151,SubFPC169,SubFPC172,SubFPC175,SubFPC179,SubFPC181,SubFPC183,SubFPC184,SubFPC188,SubFPC224,SubFPC274,SubFPC275,SubFPC287,SubFPC295,SubFPC296,SubFPC297,SubFPC298,SubFPC299,SubFPC300,SubFPC301,SubFPC302,SubFPC303,SubFPC307
0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,6,1,2,7,0,0,0,0,4,4,2,0,7
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,5,5,3,0,8
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,5,2,0,7,0,0,0,0,7,7,3,0,6
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,1,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,2,0,1,6,2,0,6,0,0,0,0,2,2,0,0,4
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,4,2,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,5,2,2,6,2,1,1,1,1,1,1,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,2,0,1,6,2,0,6,0,0,0,0,2,2,0,0,4
1,0,0,1,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,6,2,4,13,0,0,0,0,10,10,6,2,14
0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,1,0,2
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,5,2,0,7,0,0,0,0,7,7,3,0,6
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,6,0,6,4,4,2,2,2,1,1,3,0,9
